FFFFFFFF,END
FFFF0000,BOOTROM/ INTMEM0 (64KB)
FFFE0000,Reserved (64KB)
FFFD0000,BOOTROM (64KB)
FFFC0000,SDMAC1 (64K)
FFFB0000,SDMAC0 (64K)
FFFA0000,EFUSE1 (64K)
FFC00000,Reserved (3712KB)
FFB00000,CCI500 (1M)
FFA90000,Service NoC (448k)
FFA8C000,Service NoC (16k)
FFA88000,DDRC1 (16k)
FFA84000,Service NoC (16k)
FFA80000,DDRC0 (16k)
FFA50000,Service NoC (192k)
FF9B0000,Reserved (640k)
FF9A0000,GPU (64K)
FF990000,Reserved (64K)
FF988000,HDCP2.2 (32K)
FF978000,Reserved (64K)
FF970000,eDP (32K)
FF968000,DSI_HOST1 (32K)
FF960000,DSI_HOST0 (32K)
FF940000,HDMI (128K)
FF930000,HDCPMMU (64K)
FF920000,ISP1 (64K)
FF910000,ISP0 (64K)
FF900000,VOP_BIG (64K)
FF8F0000,VOP_LIT (64K)
FF8C0000,INTMEM0 (192K)
FF8B8000,CRYPTO1 (32K)
FF8B0000,CRYPTO0 (32K)
FF8A0000,I2S2(8CH) (64K)
FF890000,I2S1(8CH) (64K)
FF880000,I2S0(8CH) (64K)
FF870000,SPDIF (64K)
FF868000,STMIER6~11(6ch) (32K)
FF860000,STIMER0~5(6ch) (32K)
FF858000,TIMER6~11(6ch) (32K)
FF850000,TIMER0~5(6ch) (32K)
FF848000,WDT0 (32K)
FF840000,WDT1 (32K)
FF800000,TYPEC_PHY1 (256K)
FF7C0000,TYPEC_PHY0 (256K)
FF7B0000,TCPD1 (64K)
FF7A0000,TCPD0 (64K)
FF79C000,INTR_ARB1 (16K)
FF798000,INTR_ARB0 (16K)
FF790000,GPIO4 (32K)
FF788000,GPIO3 (32K)
FF780000,GPIO2 (32K)
FF770000,GRF (64K)
FF760000,CRU (64K)
FF750000,PMUCRU (64K)
FF740000,Reserved (64K)
FF730000,GPIO1 (64K)
FF720000,GPIO0 (64K)
FF6F0000,Reserved (192K)
FF6E0000,DMAC1 (64K)
FF6D0000,DMAC0 (64K)
FF6C0000,Reserved (64K)
FF6B0000,MAILBOX0 (64K)
FF6A0000,DCF (64K)
FF690000,EFUSE0 (64K)
FF680000,RGA (64K)
FF670000,IEP (64K)
FF660000,VIDEO_DECODER (64K)
FF650000,VIDEO_ENCODER (64K)
FF640000,Reserved (64K)
FF630000,DFI_MONITOR (64K)
FF620000,CIC (64K)
FF430000,Reserved (1984K)
FF420000,PWM(4CH) (64K)
FF3F0000,Reserved (192K)
FF3E0000,I2C8 (64K)
FF3D0000,I2C4 (64K)
FF3C0000,I2C0 (64K)
FF3B0000,INTMEM1 (64K)
FF3A0000,Reserved (64K)
FF390000,MAILBOX1 (64K)
FF380000,WDT2 (64K)
FF370000,UART4 (64K)
FF360000,PMUTIMER0~1 (64K)
FF350000,SPI3 (64K)
FF340000,Reserved (64K)
FF330000,PMUSGRF (64K)
FF320000,PMUGRF (64K)
FF310000,PMU (64K)
FF270000,Reserved (640K)
FF260000,TS-ADC (64K)
FF210000,Reserved (320K)
FF200000,SPI5 (64K)
FF1F0000,SPI4 (64K)
FF1E0000,SPI2 (64K)
FF1D0000,SPI1 (64K)
FF1C0000,SPI0 (64K)
FF1B0000,UART3 (64K)
FF1A0000,UART2 (64K)
FF190000,UART1 (64K)
FF180000,UART0 (64K)
FF170000,Reserved (64K)
FF160000,I2C7 (64K)
FF150000,I2C6 (64K)
FF140000,I2C5 (64K)
FF130000,I2C3 (64K)
FF120000,I2C2 (64K)
FF110000,I2C1 (64K)
FF100000,SAR-ADC (64K)
FF000000,Reserved (1MB)
FEE00000,GIC500 (2MB)
FED00000,Reserved (1M)
FEC00000,DP (1M)
FEA00000,Reserved (2M)
FE900000,USB3.0/2.0_OTG1 (1M)
FE800000,USB3.0/2.0_OTG0 (1M)
FE400000,DEBUG (4MB)
FE3C0000,USB2.0_HOST1 (256K)
FE380000,USB2.0_HOST0 (256K)
FE370000,HSIC PHY (64K)
FE340000,HSIC (192K)
FE330000,eMMC (64K)
FE320000,SDMMC (64K)
FE310000,SDIO (64K)
FE300000,GMAC (64K)
FE000000,Reserved (3MB)
F8000000,PCIe (96MB)
00000000,DDR (4G-128M)
